"","Rsquared.filter0","Tolerance.filter0","VIF.filter0","feat","Rsquared.filter1","Tolerance.filter1","VIF.filter1","Rsquared.filter2","Tolerance.filter2","VIF.filter2"
"1",0.999980836063307,1.91639366926566e-05,52181.3454113105,"bio6",NA,NA,NA,NA,NA,NA
"2",0.999970427038639,2.95729613614126e-05,33814.672388705,"bio5",NA,NA,NA,NA,NA,NA
"3",0.999932261378832,6.77386211681563e-05,14762.6270324808,"bio7",0.971773445540858,0.0282265544591422,35.4276325666136,0.635621418754297,0.364378581245703,2.74439841272035
"4",0.999807670851547,0.000192329148453352,5199.41989054531,"bio11",NA,NA,NA,NA,NA,NA
"5",0.999631397595778,0.000368602404221652,2712.95029155228,"bio10",NA,NA,NA,NA,NA,NA
"6",0.999153597439045,0.000846402560955029,1181.47090537115,"bio4",NA,NA,NA,NA,NA,NA
"7",0.998841476656652,0.00115852334334832,863.167760702897,"bio1",0.729569934712043,0.270430065287957,3.69781369883998,0.676955614497279,0.323044385502721,3.09554985282844
"8",0.995771346355318,0.00422865364468161,236.481888569356,"bio16",0.989946209035562,0.0100537909644385,99.4649683425014,NA,NA,NA
"9",0.994330951912203,0.00566904808779722,176.396457485081,"bio17",0.978988666037227,0.0210113339627728,47.5933608866419,NA,NA,NA
"10",0.992948622942543,0.00705137705745729,141.816271042042,"bio12",0.990227157530747,0.00977284246925259,102.324375241513,0.347065207245653,0.652934792754347,1.53154650525145
"11",0.991141017429555,0.00885898257044504,112.879779596379,"bio13",NA,NA,NA,NA,NA,NA
"12",0.988690307006819,0.0113096929931812,88.4197299257299,"bio2",0.976819245887791,0.0231807541122092,43.1392350377982,0.658006648704748,0.341993351295252,2.92403345331902
"13",0.988526271189849,0.0114737288101507,87.1556245180996,"bio14",NA,NA,NA,NA,NA,NA
"14",0.985269970494326,0.0147300295056739,67.8885266057889,"bio18",0.968702437962999,0.0312975620370014,31.9513704875081,NA,NA,NA
"15",0.982826282731544,0.0171737172684557,58.2285118805802,"bio19",0.978021722673518,0.0219782773264824,45.4994713709916,NA,NA,NA
"16",0.982646391471089,0.017353608528911,57.6249025287165,"bio3",0.978498202211319,0.0215017977886806,46.5077390192201,NA,NA,NA
"17",0.964089059166948,0.0359109408330518,27.8466666927205,"bio9",NA,NA,NA,NA,NA,NA
"18",0.934828658135099,0.0651713418649014,15.3441677182737,"bio15",0.903120764559294,0.0968792354407058,10.3221293546649,0.184645478749577,0.815354521250423,1.22646036041648
"19",0.853109430545097,0.146890569454903,6.80778897999312,"bio8",NA,NA,NA,NA,NA,NA
"20",0.532436994185316,0.467563005814684,2.13874919008529,"elev",0.322148020355438,0.677851979644562,1.47524832858696,0.194122012674051,0.805877987325949,1.24088263450176
